avg_hold_time_md_time_ms,avg_flight_time_ms,std_flight_time_ms,typing_speed_kps,key_press_frequency,error_rate,total_keystrokes
114.1552,63.2096,1047.1928,1924.2687,1.0531,1.0488,0.0444,45s,std_hol
117.0483,52.3035,413.5115,843.2246,1.9702,1.9676,0.051,294
121.296,65.2893,485.6501,798.5528,1.7653,1.7596,0.0256,117
122.877,61.5148,796.6533,2407.3439,1.1774,1.1756,0.0325,123
656.2927,6951.0189,532.7534,913.4086,0.8985,0.8978,0.0539,167
128.3377,67.9365,673.4421,2100.2847,1.3614,1.3594,0.0549,182
109.4226,78.0161,824.3366,2870.7693,1.1729,1.1717,0.0238,210
154.452,198.6747,1560.1378,11233.8075,0.9874,0.987,0.034,265
135.9117,269.609,708.1991,1972.734,1.322,1.3211,0.0184,326
150.7666,193.1797,560.1857,1152.5457,1.5783,1.5771,0.0393,458
226.1093,1766.1378,693.8997,2139.3566,1.3493,1.3484,0.0404,297
158.619,737.05,553.6256,1614.0786,1.5922,1.5916,0.0343,437
130.6967,79.1455,465.6232,866.6446,1.831,1.8294,0.0197,305
335.1556,173.2177,1822894.8798,2102868.0277,0.0014,0.0014,0.0,5
246.5559,339.0175,530.4435,999.3763,2.0257,2.0235,0.024,334
106.4631,125.9425,592.8352,1002.2459,1.6115,1.6074,0.0722,97
143.9781,144.5739,510.2476,1029.6484,1.9869,1.9836,0.1027,185
236.4037,299.7761,435.5037,830.2669,2.4638,2.4605,0.2811,249
113.4949,49.7925,432.0404,870.3674,2.0075,2.0059,0.0204,393
